Date,Close,High,Low,Open,Volume,Daily_Return,MA20,MA50,Target,Sentiment,Positive_Sentiment,Negative_Sentiment,Neutral_Sentiment,article_count,Lag1,Lag2,Lag3,Lag5,RSI,MACD,Signal_Line
2017-10-05,36.193485260009766,36.20513198582134,35.88137291111724,35.91165013332926,85135200,0.0124452622625497,36.33590526580811,36.65957359313965,36.1724967956543,0.997,0.067,0.008,0.925,1.0,35.74858474731445,35.98151779174805,35.8254508972168,35.702003479003906,38.06491721005238,-0.28422187686989986,-0.2583327237828476
2017-11-27,40.69486618041992,40.926287525182296,40.51954795262195,40.91927508141906,82867200,-0.0050290827056111,40.16373176574707,37.8681763458252,40.45642852783203,0.997,0.065,0.008,0.926,1.0,40.90055847167969,40.89822006225586,40.4727897644043,39.77384185791016,51.32481756923512,0.7709032896419643,0.825435753374952
2017-11-30,40.17123794555664,40.2390260682573,39.37412381322835,39.83929907290369,166108800,0.0139840289544408,40.32210903167724,38.06745979309082,39.98423767089844,0.989,0.174,0.021,0.804,1.0,39.61722946166992,40.45642852783203,40.69486618041992,40.89822006225586,42.32851300986575,0.5706350920530454,0.7289338364016491
2018-01-31,39.13801574707031,39.37411310023853,38.92062298841524,39.00711212032881,129915600,0.0027545021493677,40.69543647766113,40.41027633666992,39.21984100341797,0.995,0.054,0.009,0.937,1.0,39.0305061340332,39.26192474365234,40.09176254272461,40.72522735595703,33.186060873683374,-0.23123425044164492,0.06541307387868653
2018-03-16,41.78318405151367,42.04136357525891,41.68929765809745,41.93104930136968,157618800,-0.0035263008311884,41.45318222045898,40.42121887207031,41.1447639465332,0.991,0.072,0.011,0.917,1.0,41.93104553222656,41.88175964355469,42.24088287353516,42.24321746826172,47.41704330734411,0.583630881463904,0.5746717534138663
2018-03-27,39.51119613647461,41.10957533975339,39.17790739115458,40.76455034381911,163690400,-0.0256409315693386,41.17153053283691,40.3193904876709,39.07463073730469,-0.244,0.101,0.134,0.764,1.0,40.55096054077149,38.71316909790039,39.630897521972656,41.13068771362305,40.746908487637334,-0.16566742634207543,0.1556774368501444
2018-04-16,41.26681900024414,41.35366077533175,41.03445421925359,41.08139562250636,86313600,0.0062380561047401,40.126833152771,40.214581909179685,41.83481597900391,0.997,0.062,0.008,0.93,1.0,41.010990142822266,40.87250900268555,40.47350692749024,39.91253280639648,55.39055668733744,0.0631657001796384,-0.10221193375106054
2018-06-22,43.570045471191406,43.8598517133983,43.51820974068812,43.85278353153053,108801600,-0.0029120948575747,44.65541591644287,43.0558812713623,42.92211532592773,-0.807,0.0,0.138,0.862,1.0,43.697296142578125,43.94231796264648,43.75147247314453,44.49366760253906,27.164318374675815,0.13466683103590782,0.4359173645701819
2018-10-23,52.66272735595703,52.785678210129554,50.76409832307149,51.03127894622945,155071200,0.0094265275588467,52.66710376739502,52.2282926940918,50.85630798339844,0.995,0.051,0.008,0.941,1.0,52.170936584472656,51.854095458984375,51.076202392578125,52.52560424804688,41.32939405957677,-0.023485777808616604,0.08040004603222686
2018-11-30,42.37113952636719,42.78635675904082,42.003374967632006,42.77686405200895,158126000,-0.0054023792962401,44.972408866882326,49.357346572875976,43.85169219970703,0.998,0.066,0.009,0.925,1.0,42.60128784179688,42.93108749389648,41.341400146484375,40.87873840332031,27.451575087389728,-2.274467356384328,-2.208949178250006
