Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2016-01-04,23.709102630615234,23.71360460836271,22.9551827560473,23.09246388832103,270597600
2016-01-05,23.11496925354004,23.821628682951236,23.047455038507994,23.79912394460722,223164000
2016-01-06,22.662612915039062,23.03844902348601,22.475822072099724,22.631105943121526,273829600
2016-01-07,21.706148147583008,22.534335128762088,21.70164788723477,22.208012167974665,324377600
2016-01-08,21.8209285736084,22.30478820822411,21.77591909378435,22.178760291115495,283192000
2016-01-11,22.17425537109375,22.293532022104593,21.906444365766593,22.273278273971293,198957600
2016-01-12,22.49608039855957,22.66036825729513,22.244022854897278,22.628861278962535,196616800
2016-01-13,21.917699813842773,22.772893639718973,21.897446063656986,22.577098802915323,249758400
2016-01-14,22.397048950195312,22.613099172143322,21.546357425403254,22.045970344281354,252680400
2016-01-15,21.859182357788086,21.989712226534987,21.460843219648147,21.64988505686676,319335600
2016-01-19,21.753414154052734,22.20126482709412,21.492354365866788,22.147253108401078,212350800
2016-01-20,21.78265953063965,22.097730884004044,21.02423798139116,21.402323262028286,289337600
2016-01-21,21.67238998413086,22.027968898210855,21.366320797504212,21.84342733424489,208646000
2016-01-22,22.824655532836914,22.833657772379347,22.13825150849246,22.196763490015815,263202000
2016-01-25,22.37904930114746,22.849404590131204,22.327286868143908,22.847153601652497,207178000
2016-01-26,22.502826690673828,22.70312174465863,22.07072961131343,22.48932419350668,300308000
2016-01-27,21.024250030517578,21.746663054200553,21.006245550406682,21.61388387663656,533478800
2016-01-28,21.175029754638672,21.271801671005875,20.79244406686214,21.107515542267087,222715200
2016-01-29,21.906448364257812,21.906448364257812,21.233546820430533,21.33256974138231,257666000
2016-02-01,21.7016544342041,21.76466840009718,21.46985232381094,21.710656674617656,163774000
2016-02-02,21.262800216674805,21.61387891320668,21.217789026733964,21.47434679989208,149428800
2016-02-03,21.683645248413086,21.79391966479839,21.172780664055452,21.37982699763643,183857200
2016-02-04,21.857881546020508,22.023060916166425,21.538838826038514,21.69044069813151,185886800
2016-02-05,21.27409553527832,21.930284768598725,21.199427077260204,21.839775611189257,185672400
2016-02-08,21.49810218811035,21.654228686840714,21.052346092950472,21.072709743355976,216085600
2016-02-09,21.49357795715332,21.70853740455084,21.253730176624874,21.335188239128584,177324800
2016-02-10,21.330659866333008,21.801306022687154,21.292194042117465,21.70400899734777,169374400
2016-02-11,21.20168685913086,21.43248527838415,20.950524787406167,21.222052237920717,200298800
2016-02-12,21.267305374145508,21.38270458064832,21.045559774862276,21.312560811165437,161405600
2016-02-16,21.866926193237305,21.91444310662527,21.40759430416859,21.50036492754937,196231600
2016-02-17,22.201812744140625,22.22217639870214,21.756056558006573,21.87371725688323,179452800
2016-02-18,21.78094482421875,22.37603960702868,21.742477269354197,22.364725315659374,156084000
2016-02-19,21.731168746948242,21.89408490559,21.676863936173927,21.722117657432722,141496800
2016-02-22,21.921228408813477,21.925754815070707,21.70400751905716,21.79225345157322,137123200
2016-02-23,21.425697326660156,21.835249115154625,21.394019383147793,21.812622259262714,127770400
2016-02-24,21.744741439819336,21.808097331140345,21.115705481248508,21.26504584763537,145022800
2016-02-25,21.894081115722656,21.894081115722656,21.552409882510005,21.733428188848517,110330800
2016-02-26,21.928016662597656,22.17917695216546,21.853346500833084,21.993634012407416,115964400
2016-02-29,21.87824058532715,22.226699678106144,21.869189498022948,21.91670641163121,140865200
2016-03-01,22.74712371826172,22.80142851449741,22.043417665277012,22.09546098447838,201628400
2016-03-02,22.796903610229492,22.82858155158241,22.54574155641827,22.74259881452711,132678400
2016-03-03,22.966609954833984,23.014126871720247,22.72902364408416,22.758440111431735,147822800
2016-03-04,23.308279037475586,23.475719832914706,22.93719309822221,23.16346509661175,184220400
2016-03-07,23.050334930419922,23.267555896684534,22.844426531146482,23.167995639777043,143315600
2016-03-08,22.860261917114258,23.02544125138635,22.717711165909574,22.80369391208277,126247600
2016-03-09,22.880624771118164,22.98470968172931,22.688292194185372,22.923615276300346,108806800
2016-03-10,22.891939163208008,23.134050148301274,22.661142469303154,22.946245689330233,134054400
2016-03-11,23.138574600219727,23.143099280521703,22.966607401333224,23.134048193599433,109632800
2016-03-14,23.197406768798828,23.28565444495634,23.029965957093875,23.059382424585884,100304400
2016-03-15,23.663524627685547,23.799287473548514,23.498345318901467,23.523235375380143,160270800
2016-03-16,23.978042602539062,24.054974249049753,23.665786157407254,23.670312563859795,153214000
2016-03-17,23.9395751953125,24.09117700139507,23.74950584220155,23.87621759339676,137682800
2016-03-18,23.966726303100586,24.097964458127866,23.80154873411635,24.061760114816295,176820800
2016-03-21,23.964468002319336,24.358180793260605,23.79023759809888,23.96899268267387,142010800
2016-03-22,24.147748947143555,24.276723922528895,23.806077732017386,23.81512881948704,129777600
2016-03-23,24.01424217224121,24.226938364219116,23.962200588875145,24.09343873823675,102814000
2016-03-24,23.910160064697266,24.041398229347966,23.73366819390685,23.86490635855755,104532000
2016-03-28,23.80155372619629,24.027825740397013,23.772137259506373,23.984833505276967,77645600
2016-03-29,24.364971160888672,24.38986122117192,23.731408814927196,23.73367201849436,124760400
2016-03-30,24.790367126464844,24.984961242334524,24.573146149142172,24.584460443028103,182404400
2016-03-31,24.661386489868164,24.867294852638533,24.636496430053757,24.826565820789366,103553600
2016-04-01,24.887659072875977,24.88992227645211,24.48263194867367,24.613870134993224,103496000
2016-04-04,25.143339157104492,25.385450069271393,24.951006622744835,24.984947759768183,149424800
2016-04-05,24.84693145751953,25.055103040436407,24.758685502519864,24.77905088322981,106314800
2016-04-06,25.107141494750977,25.111667901594167,24.70890228215183,24.94196389766093,105616400
2016-04-07,24.55956268310547,24.98495341463235,24.464528858985368,24.87860530017105,127207600
2016-04-08,24.586713790893555,24.83787409655263,24.475839279478535,24.643281785008824,94326800
2016-04-11,24.668174743652344,25.02794815142914,24.625184233953128,24.656862178497185,117630000
2016-04-12,24.98948097229004,25.003056740270104,24.58671707657627,24.740580383866106,108929200
2016-04-13,25.351516723632812,25.41939729222358,25.07093990889034,25.07093990889034,133029200
2016-04-14,25.365093231201172,25.43071232450725,25.1908645344577,25.256483627763778,101895600
2016-04-15,24.855976104736328,25.41034347919359,24.82882457258405,25.367351251528262,187756000
2016-04-18,24.319717407226562,24.65233582567168,24.19753030957961,24.638760056928188,243286000
2016-04-19,24.190738677978516,24.437374312312617,24.036873659551965,24.41022105271326,129539600
2016-04-20,24.240520477294922,24.45774140571795,23.998409488981064,24.12964767271117,122444000
2016-04-21,23.978042602539062,24.195263501668265,23.876219173175897,24.195263501668265,126210000
2016-04-22,23.912425994873047,24.0934442927117,23.672578217607494,23.76082416306627,134732400
2016-04-25,23.776662826538086,23.90563780102329,23.647687852052886,23.758560651725116,112126400
2016-04-26,23.61148452758789,23.826443978608584,23.51192601443075,23.51192601443075,224064800
2016-04-27,22.133926391601562,22.33530832822501,21.649704462381326,21.722111431433373,458408400
2016-04-28,21.45737648010254,22.14750511847199,21.32613829168342,22.086412431487112,328970800
2016-04-29,21.210735321044922,21.43248262519851,20.93242174714489,21.267303317109604,274126000
2016-05-02,21.1881103515625,21.287670585909353,20.907533549506745,21.26278052732264,192640400
2016-05-03,21.53656768798828,21.66327944767617,21.19715970912294,21.31482038221623,227325200
2016-05-04,21.312551498413086,21.699476252690847,21.22883027124793,21.541084881809546,164102000
2016-05-05,21.226055145263672,21.415004791770283,21.098571883441945,21.39906938404257,143562000
2016-05-06,21.107677459716797,21.273860744455853,20.90962162362799,21.25565009103631,174799600
2016-05-09,21.12361717224121,21.346712919355305,21.078086187339725,21.17142340376566,131745600
2016-05-10,21.26703453063965,21.30118233296294,20.96881397979695,21.2465468913433,134747200
2016-05-11,21.05986785888672,21.301175912061915,21.048484682600442,21.280688278941234,114876400
2016-05-12,20.565868377685547,21.121334074889095,20.367814295389742,21.107675651787034,305258800
2016-05-13,20.606840133666992,20.86863750967336,20.48846311100795,20.48846311100795,177571200
2016-05-16,21.371749877929688,21.487851693136445,20.864092098720693,21.032552364137977,245039200
2016-05-17,21.2829647064209,21.5584205669201,21.173693850052576,21.52427450982309,187667600
2016-05-18,21.526548385620117,21.674520991995124,21.3740235508649,21.435489923385195,168249600
2016-05-19,21.444599151611328,21.544765566551572,21.301180478534434,21.544765566551572,121768400
2016-05-20,21.67679786682129,21.72460408030558,21.517442085044827,21.544760665676776,128104000
2016-05-23,21.952255249023438,22.125269464843562,21.779241033203313,21.824772004118582,152074400
2016-05-24,22.286901473999023,22.33015372721535,22.045591659714926,22.13209963980563,140560800
2016-05-25,22.678457260131836,22.705774104756745,22.33470582502775,22.462189064821,152675200
2016-05-26,22.85830307006836,22.93115089139935,22.45536220143362,22.692118054966603,225324800
2016-05-27,22.844640731811523,22.871959313517372,22.59422647840904,22.637480465236077,145364800
2016-05-31,22.73310089111328,22.85603194678067,22.49634497688307,22.67391147834835,169228800
2016-06-01,22.414382934570312,22.66024495809652,22.38478910717191,22.541866174845136,116693200
2016-06-02,22.24592399597168,22.273240842302986,21.99778497521207,22.218605412811385,160766400
2016-06-03,22.291454315185547,22.371131348908463,22.184458696973742,22.261860484611056,114019600
2016-06-06,22.453081130981445,23.19521936975564,22.207220864266038,22.30738551484315,93170000
2016-06-07,22.544143676757812,22.735370278403316,22.52820827135643,22.594226875684704,89638000
2016-06-08,22.52365493774414,22.664796596709508,22.46446554765898,22.541865588145942,83392400
2016-06-09,22.685291290283203,22.762691348934236,22.414387611346097,22.42349380709844,106405600
2016-06-10,22.498613357543945,22.61699040098032,22.418936334382074,22.430317773788715,126851600
