,Date,Close,High,Low,Open,Volume,Daily_Return,MA20,MA50,Target
0,2016-03-15,23.663524627685547,23.799287473548514,23.498345318901467,23.523235375380143,160270800,0.02009353301997785,22.500375747680664,22.146492042541503,23.978042602539062
1,2016-03-16,23.978042602539062,24.054974249049753,23.665786157407254,23.670312563859795,153214000,0.013291256471808177,22.589187240600587,22.15187084197998,23.9395751953125
2,2016-03-17,23.9395751953125,24.09117700139507,23.74950584220155,23.87621759339676,137682800,-0.0016042763733553622,22.697118759155273,22.16836296081543,23.966726303100586
3,2016-03-18,23.966726303100586,24.097964458127866,23.80154873411635,24.061760114816295,176820800,0.0011341516115708217,22.808896636962892,22.19444522857666,23.964468002319336
4,2016-03-21,23.964468002319336,24.358180793260605,23.79023759809888,23.96899268267387,142010800,-9.42265018880617e-05,22.911058616638183,22.239611625671387,24.147748947143555
5,2016-03-22,24.147748947143555,24.276723922528895,23.806077732017386,23.81512881948704,129777600,0.0076480289404496915,23.047161197662355,22.28614803314209,24.01424217224121
6,2016-03-23,24.01424217224121,24.226938364219116,23.962200588875145,24.09343873823675,102814000,-0.0055287461864281795,23.160636234283448,22.32294776916504,23.910160064697266
7,2016-03-24,23.910160064697266,24.041398229347966,23.73366819390685,23.86490635855755,104532000,-0.00433418247377626,23.261440181732176,22.351229362487793,23.80155372619629
8,2016-03-28,23.80155372619629,24.027825740397013,23.772137259506373,23.984833505276967,77645600,-0.004542267312602877,23.35511703491211,22.388906440734864,24.364971160888672
9,2016-03-29,24.364971160888672,24.38986122117192,23.731408814927196,23.73367201849436,124760400,0.023671456123147028,23.479453563690186,22.42826488494873,24.790367126464844
10,2016-03-30,24.790367126464844,24.984961242334524,24.573146149142172,24.584460443028103,182404400,0.017459325634623823,23.581615734100343,22.486888580322265,24.661386489868164
11,2016-03-31,24.661386489868164,24.867294852638533,24.636496430053757,24.826565820789366,103553600,-0.005202853025076282,23.674839878082274,22.545048027038575,24.887659072875977
12,2016-04-01,24.887659072875977,24.88992227645211,24.48263194867367,24.613870134993224,103496000,0.009175176874210766,23.770892333984374,22.6071480178833,25.143339157104492
13,2016-04-04,25.143339157104492,25.385450069271393,24.951006622744835,24.984947759768183,149424800,0.010273368157279528,23.86264533996582,22.676567001342775,24.84693145751953
14,2016-04-05,24.84693145751953,25.055103040436407,24.758685502519864,24.77905088322981,106314800,-0.011788716595393378,23.952475166320802,22.717012519836427,25.107141494750977
15,2016-04-06,25.107141494750977,25.111667901594167,24.70890228215183,24.94196389766093,105616400,0.010472522036627518,24.064819145202637,22.771574363708496,24.55956268310547
16,2016-04-07,24.55956268310547,24.98495341463235,24.464528858985368,24.87860530017105,127207600,-0.021809683581860084,24.148766040802002,22.812709083557127,24.586713790893555
17,2016-04-08,24.586713790893555,24.83787409655263,24.475839279478535,24.643281785008824,94326800,0.0011055208164094665,24.23350477218628,22.883958358764648,24.668174743652344
18,2016-04-11,24.668174743652344,25.02794815142914,24.625184233953128,24.656862178497185,117630000,0.0033132102749315884,24.30998477935791,22.95382125854492,24.98948097229004
19,2016-04-12,24.98948097229004,25.003056740270104,24.58671707657627,24.740580383866106,108929200,0.013025131854166538,24.39958848953247,23.015481910705567,25.351516723632812
20,2016-04-13,25.351516723632812,25.41939729222358,25.07093990889034,25.07093990889034,133029200,0.01448752584114188,24.483988094329835,23.08847915649414,25.365093231201172
21,2016-04-14,25.365093231201172,25.43071232450725,25.1908645344577,25.256483627763778,101895600,0.0005355303872491834,24.55334062576294,23.17052501678467,24.855976104736328
22,2016-04-15,24.855976104736328,25.41034347919359,24.82882457258405,25.367351251528262,187756000,-0.020071565352599907,24.59916067123413,23.233971633911132,24.319717407226562
23,2016-04-18,24.319717407226562,24.65233582567168,24.19753030957961,24.638760056928188,243286000,-0.021574638439066596,24.61681022644043,23.283208351135254,24.190738677978516
24,2016-04-19,24.190738677978516,24.437374312312617,24.036873659551965,24.41022105271326,129539600,-0.0053034633210713444,24.62812376022339,23.34154121398926,24.240520477294922
25,2016-04-20,24.240520477294922,24.45774140571795,23.998409488981064,24.12964767271117,122444000,0.0020578866970162313,24.632762336730956,23.39638957977295,23.978042602539062
26,2016-04-21,23.978042602539062,24.195263501668265,23.876219173175897,24.195263501668265,126210000,-0.010828062664814175,24.63095235824585,23.446078872680665,23.912425994873047
27,2016-04-22,23.912425994873047,24.0934442927117,23.672578217607494,23.76082416306627,134732400,-0.002736528946656658,24.63106565475464,23.497714195251465,23.776662826538086
28,2016-04-25,23.776662826538086,23.90563780102329,23.647687852052886,23.758560651725116,112126400,-0.005677515462633065,24.62982110977173,23.54921371459961,23.61148452758789
29,2016-04-26,23.61148452758789,23.826443978608584,23.51192601443075,23.51192601443075,224064800,-0.006947076642136341,24.592146778106688,23.596097297668457,22.133926391601562
30,2016-04-27,22.133926391601562,22.33530832822501,21.649704462381326,21.722111431433373,458408400,-0.06257794313017184,24.459324741363524,23.60143730163574,21.45737648010254
31,2016-04-28,21.45737648010254,22.14750511847199,21.32613829168342,22.086412431487112,328970800,-0.030566195058628676,24.299124240875244,23.586548576354982,21.210735321044922
32,2016-04-29,21.210735321044922,21.43248262519851,20.93242174714489,21.267303317109604,274126000,-0.011494469479357283,24.115278053283692,23.575144386291505,21.1881103515625
33,2016-05-02,21.1881103515625,21.287670585909353,20.907533549506745,21.26278052732264,192640400,-0.0010666753952642827,23.91751661300659,23.56428321838379,21.53656768798828
34,2016-05-03,21.53656768798828,21.66327944767617,21.19715970912294,21.31482038221623,227325200,0.016445890201817193,23.75199842453003,23.556590003967287,21.312551498413086
35,2016-05-04,21.312551498413086,21.699476252690847,21.22883027124793,21.541084881809546,164102000,-0.010401666264589493,23.562268924713134,23.554327087402342,21.226055145263672
36,2016-05-05,21.226055145263672,21.415004791770283,21.098571883441945,21.39906938404257,143562000,-0.004058470106493517,23.395593547821044,23.54395336151123,21.107677459716797
37,2016-05-06,21.107677459716797,21.273860744455853,20.90962162362799,21.25565009103631,174799600,-0.00557699886939611,23.221641731262206,23.528225288391113,21.12361717224121
38,2016-05-09,21.12361717224121,21.346712919355305,21.078086187339725,21.17142340376566,131745600,0.000755161838853935,23.04441385269165,23.512137298583983,21.26703453063965
39,2016-05-10,21.26703453063965,21.30118233296294,20.96881397979695,21.2465468913433,134747200,0.006789431811276225,22.85829153060913,23.499913177490235,21.05986785888672
40,2016-05-11,21.05986785888672,21.301175912061915,21.048484682600442,21.280688278941234,114876400,-0.00974121104916914,22.643709087371825,23.466168060302735,20.565868377685547
41,2016-05-12,20.565868377685547,21.121334074889095,20.367814295389742,21.107675651787034,305258800,-0.02345691266969263,22.403747844696046,23.421547355651857,20.606840133666992
