Date,Close,High,Low,Open,Volume,Daily_Return,MA20,MA50,Target,Sentiment,Positive_Sentiment,Negative_Sentiment,Neutral_Sentiment,article_count
2016-03-15,23.663522720336918,23.799285555257,23.498343424866768,23.52323347933923,160270800,0.0200933669228637,22.500374794006348,22.146492195129397,23.9780387878418,0.0,0.0,0.0,0.0,
2016-03-16,23.9780387878418,24.054970422113332,23.665782392387264,23.67030879811969,153214000,0.0132911769402186,22.58918600082397,22.151870918273925,23.9395751953125,0.0,0.0,0.0,0.0,
2016-03-17,23.9395751953125,24.09117700139507,23.74950584220155,23.87621759339676,137682800,-0.0016041175372858,22.69711790084839,22.168363075256348,23.96673011779785,0.0,0.0,0.0,0.0,
2016-03-18,23.96673011779785,24.09796829371383,23.801552522522893,24.061763944639747,176820800,0.001134310958478,22.8088963508606,22.194445381164552,23.964466094970703,0.0,0.0,0.0,0.0,
2016-03-21,23.964466094970703,24.3581788545761,23.790235704617366,23.96899077496512,142010800,-9.446523643485973e-05,22.911058044433595,22.239611625671387,24.147743225097656,0.0,0.0,0.0,0.0,
2016-03-22,24.147743225097656,24.27671816992111,23.80607209093383,23.81512317625874,129777600,0.0076478703677616,23.047160148620605,22.286147956848144,24.014249801635746,0.0,0.0,0.0,0.0,
2016-03-23,24.014249801635746,24.22694606118785,23.962208201735915,24.093446392792263,102814000,-0.0055281945901747,23.160635662078857,22.322947692871093,23.910165786743164,0.0,0.0,0.0,0.0,
2016-03-24,23.910165786743164,24.041403982801047,23.733673873715706,23.864912069773585,104532000,-0.0043342605224956,23.26143980026245,22.35122947692871,23.801551818847656,0.0,0.0,0.0,0.0,
2016-03-28,23.801551818847656,24.02782381491597,23.772135354515047,23.984831583241125,77645600,-0.0045425853113795,23.35511655807495,22.388906517028808,24.364967346191406,0.0,0.0,0.0,0.0,
2016-03-29,24.364967346191406,24.389857402577743,23.731405099423505,23.733668302636328,124760400,0.0236713778845965,23.479453086853027,22.428264694213865,24.79035758972168,0.0,0.0,0.0,0.0,
2016-03-30,24.79035758972168,24.984951630731874,24.573136695962944,24.584450985496314,182404400,0.0174590935208771,23.58161497116089,22.486888160705565,24.6613826751709,0.0,0.0,0.0,0.0,
2016-03-31,24.6613826751709,24.867291006090745,24.63649261920656,24.826561980541666,103553600,-0.0052026242091907,23.67483873367309,22.54504753112793,24.887664794921875,0.0,0.0,0.0,0.0,
2016-04-01,24.887664794921875,24.889927999018354,24.48263757759776,24.613875794090944,103496000,0.0091755650010165,23.770891666412357,22.607147483825685,25.143346786499023,0.0,0.0,0.0,0.0,
2016-04-04,25.143346786499023,25.38545777213109,24.951014193778747,24.98495534110106,149424800,0.0102734424335912,23.86264495849609,22.676566505432127,24.84693145751953,0.0,0.0,0.0,0.0,
2016-04-05,24.84693145751953,25.055103040436407,24.758685502519864,24.77905088322981,106314800,-0.0117890164541919,23.952475357055665,22.717012100219726,25.10714530944824,0.0,0.0,0.0,0.0,
2016-04-06,25.10714530944824,25.11167171697916,24.70890603634193,24.94196768726165,105616400,0.0104726755645296,24.0648196220398,22.77157398223877,24.55956649780273,0.0,0.0,0.0,0.0,
2016-04-07,24.55956649780273,24.98495729540314,24.46453265892157,24.87860916442339,127207600,-0.0218096802681683,24.148766708374023,22.8127087020874,24.58671760559082,0.0,0.0,0.0,0.0,
2016-04-08,24.58671760559082,24.837877950218115,24.475843076973312,24.64328560848277,94326800,0.0011055206446952,24.23350534439087,22.883958168029785,24.668169021606445,0.0,0.0,0.0,0.0,
2016-04-11,24.668169021606445,25.02794234592997,24.62517852187933,24.65685645907536,117630000,0.0033128218789604,24.309985065460204,22.953820953369146,24.989477157592773,0.0,0.0,0.0,0.0,
2016-04-12,24.989477157592773,25.00305292350047,24.586713323361767,24.74057660716404,108929200,0.0130252121957206,24.39958848953247,23.01548156738281,25.351512908935547,0.0,0.0,0.0,0.0,
2016-04-13,25.351512908935547,25.419393467312176,25.070936136412072,25.070936136412072,133029200,0.0144875280526937,24.4839879989624,23.088478660583498,25.365089416503903,0.0,0.0,0.0,0.0,
2016-04-14,25.365089416503903,25.430708499941424,25.19086074596297,25.256479829400487,101895600,0.0005355304678316,24.55334053039551,23.17052417755127,24.855979919433597,0.0,0.0,0.0,0.0,
2016-04-15,24.855979919433597,25.410347378970744,24.82882838311432,25.367355144707314,187756000,-0.0200712675879257,24.599160766601564,23.233970947265625,24.31970977783203,0.0,0.0,0.0,0.0,
2016-04-18,24.31970977783203,24.65232809193066,24.197522718516677,24.638752327446053,243286000,-0.0215750955440015,24.61680974960327,23.2832075881958,24.190736770629883,0.0,0.0,0.0,0.0,
2016-04-19,24.190736770629883,24.43737238551769,24.03687176433501,24.41021912805927,129539600,-0.0053032297005333,24.62812328338623,23.34154045104981,24.240516662597656,0.0,0.0,0.0,0.0,
2016-04-20,24.240516662597656,24.457737556836925,23.99840571238447,24.1296438754618,122444000,0.0020578080130329,24.63276195526123,23.39638874053955,23.9780387878418,0.0,0.0,0.0,0.0,
2016-04-21,23.9780387878418,24.19525965241305,23.87621537467785,24.19525965241305,126210000,-0.0108280643688116,24.630951404571533,23.44607810974121,23.91242218017578,0.0,0.0,0.0,0.0,
2016-04-22,23.91242218017578,24.093440449136978,23.672574441172625,23.76082037255372,134732400,-0.0027365293820146,24.631064224243165,23.49771331787109,23.77666473388672,0.0,0.0,0.0,0.0,
2016-04-25,23.77666473388672,23.90563971871821,23.64768974905523,23.758562557621605,112126400,-0.0056772770765819,24.62981986999512,23.549212913513184,23.61147689819336,0.0,0.0,0.0,0.0,
2016-04-26,23.61147689819336,23.82643627975588,23.51191841720578,23.51191841720578,224064800,-0.0069474771816053,24.592145347595213,23.59609634399414,22.13392639160156,0.0,0.0,0.0,0.0,
2016-04-27,22.13392639160156,22.33530832822501,21.64970446238133,21.722111431433373,458408400,-0.0625776402282083,24.459323787689208,23.601436347961425,21.45737075805664,0.0,0.0,0.0,0.0,
2016-04-28,21.45737075805664,22.147499212389253,21.326132604634854,22.086406541695982,328970800,-0.0305664535778719,24.29912319183349,23.58654747009277,21.21073341369629,0.0,0.0,0.0,0.0,
2016-04-29,21.21073341369629,21.43248069790953,20.93241986482325,21.267301404674168,274126000,-0.0114942947643176,24.115276622772218,23.575143394470214,21.1881103515625,0.0,0.0,0.0,0.0,
2016-05-02,21.1881103515625,21.287670585909357,20.907533549506745,21.26278052732264,192640400,-0.0010665855674363,23.91751480102539,23.56428237915039,21.53656768798828,0.0,0.0,0.0,0.0,
2016-05-03,21.53656768798828,21.66327944767617,21.19715970912294,21.31482038221623,227325200,0.0164458902018171,23.75199661254883,23.556589088439942,21.31255531311035,0.0,0.0,0.0,0.0,
2016-05-04,21.31255531311035,21.699480136643118,21.228834070960072,21.541088737411613,164102000,-0.0104014891380704,23.56226711273193,23.554326171875,21.22605323791504,0.0,0.0,0.0,0.0,
2016-05-05,21.22605323791504,21.41500286744286,21.098569987548814,21.39906746114708,143562000,-0.0040587378624702,23.395591449737548,23.543952445983887,21.107675552368164,0.0,0.0,0.0,0.0,
